                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2965,                 1.5004,                 1.2776,                 0.5992,                0.43233,                0.46911,                0.32317,                 1.1805,                 1.2067,                 1.1812,               0.006634,               0.006634,               0.006634
                     36,                 1.2975,                  1.501,                 1.2773,                0.60122,                0.43144,                0.46925,                0.32365,                 1.1793,                 1.2054,                 1.1798,               0.006535,               0.006535,               0.006535
                     37,                 1.2947,                 1.4934,                 1.2737,                 0.5945,                 0.4351,                0.47006,                0.32443,                 1.1786,                 1.2033,                 1.1792,               0.006436,               0.006436,               0.006436
                     38,                 1.2942,                 1.4911,                 1.2735,                0.59229,                0.43771,                0.47148,                0.32577,                 1.1773,                 1.2011,                  1.178,               0.006337,               0.006337,               0.006337
                     39,                 1.2926,                 1.4854,                 1.2721,                0.58561,                0.44227,                0.47265,                0.32721,                 1.1759,                 1.1994,                 1.1771,               0.006238,               0.006238,               0.006238
                     40,                 1.2909,                  1.485,                 1.2721,                0.60196,                0.43364,                0.47279,                0.32753,                 1.1755,                 1.1981,                 1.1767,               0.006139,               0.006139,               0.006139
                     41,                 1.2896,                 1.4805,                 1.2691,                0.60826,                0.43159,                  0.473,                0.32834,                 1.1754,                  1.197,                 1.1764,                0.00604,                0.00604,                0.00604
                     42,                 1.2875,                 1.4789,                 1.2692,                0.59927,                0.43613,                0.47375,                0.32831,                  1.175,                  1.195,                 1.1758,               0.005941,               0.005941,               0.005941
                     43,                 1.2868,                  1.476,                 1.2696,                0.60249,                0.43708,                0.47493,                0.32866,                  1.175,                 1.1941,                 1.1759,               0.005842,               0.005842,               0.005842
                     44,                 1.2843,                 1.4725,                 1.2679,                0.60559,                0.43661,                0.47582,                0.32964,                 1.1742,                 1.1926,                 1.1754,               0.005743,               0.005743,               0.005743
                     45,                 1.2838,                 1.4748,                 1.2676,                0.60837,                0.43666,                0.47515,                0.32906,                 1.1733,                 1.1921,                 1.1746,               0.005644,               0.005644,               0.005644
                     46,                 1.2845,                 1.4677,                 1.2666,                0.61116,                0.43538,                0.47527,                0.32907,                 1.1727,                 1.1915,                 1.1742,               0.005545,               0.005545,               0.005545
                     47,                  1.282,                 1.4623,                 1.2661,                0.61156,                 0.4376,                0.47593,                0.33018,                 1.1727,                 1.1898,                  1.174,               0.005446,               0.005446,               0.005446
                     48,                 1.2799,                 1.4635,                 1.2644,                0.61225,                0.43877,                0.47657,                0.33088,                 1.1712,                 1.1878,                 1.1727,               0.005347,               0.005347,               0.005347
                     49,                 1.2786,                 1.4556,                 1.2612,                0.61547,                0.43681,                0.47796,                0.33222,                 1.1707,                 1.1862,                 1.1723,               0.005248,               0.005248,               0.005248
                     50,                 1.2753,                 1.4535,                 1.2602,                0.61394,                0.43694,                0.47835,                0.33255,                 1.1698,                 1.1848,                 1.1715,               0.005149,               0.005149,               0.005149
                     51,                 1.2751,                 1.4507,                   1.26,                 0.6197,                0.43606,                0.47909,                0.33292,                  1.169,                 1.1831,                 1.1711,                0.00505,                0.00505,                0.00505
                     52,                 1.2733,                  1.444,                 1.2587,                0.62047,                 0.4363,                0.48015,                0.33275,                 1.1687,                 1.1813,                 1.1708,               0.004951,               0.004951,               0.004951
                     53,                 1.2599,                 1.4172,                 1.2496,                0.61168,                0.44522,                0.48183,                0.33442,                  1.167,                 1.1783,                 1.1694,               0.004852,               0.004852,               0.004852
                     54,                 1.2643,                 1.4321,                 1.2544,                0.62219,                0.43619,                0.48186,                0.33464,                 1.1663,                 1.1757,                 1.1687,               0.004753,               0.004753,               0.004753
                     55,                 1.2647,                 1.4316,                 1.2541,                0.61201,                 0.4408,                0.48235,                0.33523,                 1.1657,                 1.1738,                  1.168,               0.004654,               0.004654,               0.004654
                     56,                 1.2617,                 1.4301,                 1.2533,                0.60979,                 0.4416,                0.48275,                0.33546,                 1.1649,                 1.1723,                 1.1672,               0.004555,               0.004555,               0.004555
                     57,                 1.2635,                  1.428,                 1.2522,                0.61621,                0.43813,                0.48342,                0.33622,                 1.1643,                 1.1714,                 1.1668,               0.004456,               0.004456,               0.004456
                     58,                 1.2619,                  1.422,                 1.2506,                0.63114,                0.43383,                0.48424,                 0.3366,                 1.1636,                 1.1692,                 1.1662,               0.004357,               0.004357,               0.004357
                     59,                 1.2588,                 1.4197,                  1.249,                0.62465,                 0.4374,                0.48476,                0.33727,                 1.1628,                 1.1683,                 1.1653,               0.004258,               0.004258,               0.004258
                     60,                 1.2584,                 1.4174,                 1.2478,                0.61707,                0.44218,                0.48471,                0.33753,                 1.1611,                 1.1666,                 1.1641,               0.004159,               0.004159,               0.004159
                     61,                 1.2556,                 1.4152,                 1.2469,                0.62748,                0.43658,                0.48545,                0.33832,                 1.1608,                 1.1645,                 1.1638,                0.00406,                0.00406,                0.00406
                     62,                 1.2545,                 1.4067,                 1.2461,                0.62043,                0.44007,                0.48597,                0.33928,                 1.1603,                 1.1629,                 1.1632,               0.003961,               0.003961,               0.003961
                     63,                 1.2539,                 1.4088,                 1.2467,                0.61543,                0.44414,                 0.4879,                0.34082,                 1.1596,                 1.1611,                  1.163,               0.003862,               0.003862,               0.003862
                     64,                 1.2509,                 1.4042,                 1.2434,                0.60815,                0.45014,                0.48917,                0.34146,                 1.1593,                 1.1602,                 1.1625,               0.003763,               0.003763,               0.003763
                     65,                 1.2494,                 1.4006,                 1.2432,                0.60402,                  0.452,                0.48958,                0.34209,                 1.1582,                 1.1597,                 1.1619,               0.003664,               0.003664,               0.003664
                     66,                 1.2458,                 1.3965,                  1.241,                0.61067,                0.44937,                0.48923,                0.34183,                 1.1579,                 1.1586,                 1.1615,               0.003565,               0.003565,               0.003565
                     67,                  1.247,                 1.3935,                 1.2404,                0.62507,                0.43947,                0.48945,                0.34201,                 1.1568,                  1.158,                 1.1607,               0.003466,               0.003466,               0.003466
                     68,                 1.2449,                 1.3868,                 1.2399,                0.62149,                0.44146,                 0.4894,                0.34183,                 1.1566,                 1.1568,                 1.1604,               0.003367,               0.003367,               0.003367
                     69,                 1.2416,                 1.3827,                 1.2372,                0.62639,                0.44075,                0.48975,                0.34189,                 1.1559,                 1.1561,                 1.1597,               0.003268,               0.003268,               0.003268
                     70,                 1.2252,                  1.347,                 1.2256,                0.62095,                0.44411,                0.49105,                0.34274,                 1.1557,                 1.1536,                 1.1591,               0.003169,               0.003169,               0.003169
                     71,                 1.2274,                 1.3588,                 1.2294,                0.62774,                0.44437,                0.49214,                0.34331,                 1.1549,                 1.1511,                 1.1581,                0.00307,                0.00307,                0.00307
                     72,                 1.2283,                 1.3566,                 1.2291,                0.63178,                0.44371,                0.49286,                0.34403,                 1.1546,                 1.1496,                 1.1577,               0.002971,               0.002971,               0.002971
                     73,                 1.2255,                 1.3549,                 1.2289,                0.62878,                0.44493,                0.49301,                0.34476,                 1.1538,                 1.1484,                 1.1569,               0.002872,               0.002872,               0.002872
                     74,                 1.2267,                 1.3514,                 1.2276,                0.63414,                0.44434,                0.49374,                 0.3451,                 1.1526,                 1.1471,                 1.1559,               0.002773,               0.002773,               0.002773
                     75,                  1.224,                 1.3464,                 1.2254,                0.62871,                0.44783,                0.49393,                0.34487,                 1.1521,                 1.1455,                 1.1554,               0.002674,               0.002674,               0.002674
                     76,                 1.2214,                 1.3421,                 1.2238,                0.63489,                0.44656,                0.49498,                0.34554,                  1.152,                 1.1439,                 1.1553,               0.002575,               0.002575,               0.002575
                     77,                 1.2199,                 1.3393,                 1.2228,                0.63403,                0.44587,                0.49508,                0.34625,                 1.1519,                 1.1431,                 1.1549,               0.002476,               0.002476,               0.002476
                     78,                 1.2172,                 1.3357,                 1.2208,                0.63929,                 0.4421,                0.49568,                0.34673,                 1.1515,                 1.1416,                 1.1543,               0.002377,               0.002377,               0.002377
                     79,                 1.2165,                 1.3278,                 1.2203,                 0.6374,                0.44264,                0.49587,                0.34739,                 1.1507,                   1.14,                 1.1533,               0.002278,               0.002278,               0.002278
                     80,                  1.215,                 1.3288,                 1.2202,                0.63946,                0.44212,                 0.4969,                0.34788,                 1.1511,                  1.139,                 1.1532,               0.002179,               0.002179,               0.002179
                     81,                  1.211,                 1.3235,                  1.217,                0.63159,                0.45039,                0.49818,                0.34848,                 1.1506,                 1.1374,                 1.1523,                0.00208,                0.00208,                0.00208
                     82,                   1.21,                 1.3178,                 1.2155,                0.62721,                0.45274,                0.49904,                0.34885,                 1.1503,                 1.1359,                 1.1519,               0.001981,               0.001981,               0.001981
                     83,                 1.2058,                 1.3143,                 1.2146,                0.63052,                0.45219,                0.49912,                0.34926,                 1.1499,                  1.135,                 1.1516,               0.001882,               0.001882,               0.001882
                     84,                 1.2056,                  1.312,                  1.214,                0.63197,                0.45105,                0.49931,                0.34966,                 1.1498,                  1.135,                 1.1514,               0.001783,               0.001783,               0.001783
